condition,n_runs,n_units,success_rate,success_rate_wilson_low,success_rate_wilson_high,mean_iterations,median_iterations,mean_wall_time_s,median_wall_time_s
A: compiler stderr,4,2,1.0,0.5101,1.0,1.0,1.0,52.3949,39.8871
B: LSP diagnostics,4,2,1.0,0.5101,1.0,2.0,1.0,98.2432,54.8009
