condition,n_runs,n_units,success_rate,success_rate_wilson_low,success_rate_wilson_high,mean_iterations,median_iterations,mean_wall_time_s,median_wall_time_s
A: compiler stderr,10,5,0.8,0.4902,0.9433,2.3,1.0,43.3633,19.3844
B: stderr + LSP diagnostics,10,5,1.0,0.7225,1.0,0.6,0.0,19.9971,13.0914
