condition,n_runs,n_units,success_rate,success_rate_wilson_low,success_rate_wilson_high,mean_iterations,median_iterations,mean_wall_time_s,median_wall_time_s
A: compiler stderr,10,5,0.9,0.5958,0.9821,3.7,3.0,154.6103,80.6501
B: LSP diagnostics,10,5,0.6,0.3127,0.8318,6.2,7.5,230.1054,131.8361
