condition,n_runs,n_units,success_rate,success_rate_wilson_low,success_rate_wilson_high,mean_iterations,median_iterations,mean_wall_time_s,median_wall_time_s
A: compiler stderr,10,5,0.8,0.4902,0.9433,4.6,4.0,128.0309,91.0861
B: stderr + LSP diagnostics,10,5,0.9,0.5958,0.9821,4.7,5.0,163.2072,105.4886
