condition,n_runs,n_units,success_rate,success_rate_wilson_low,success_rate_wilson_high,mean_iterations,median_iterations,mean_wall_time_s,median_wall_time_s
A: compiler stderr,26,13,1.0,0.8713,1.0,1.6154,1.0,45.1381,24.1671
B: LSP diagnostics,26,13,0.8462,0.6647,0.9385,2.8077,2.0,82.7377,33.1613
