condition,n_runs,n_units,success_rate,success_rate_wilson_low,success_rate_wilson_high,mean_iterations,median_iterations,mean_wall_time_s,median_wall_time_s
A: compiler stderr,10,5,0.9,0.5958,0.9821,1.9,1.0,49.27,18.7905
B: LSP diagnostics,10,5,1.0,0.7225,1.0,1.2,0.0,65.6799,5.598
