condition,n_runs,n_units,success_rate,success_rate_wilson_low,success_rate_wilson_high,mean_iterations,median_iterations,mean_wall_time_s,median_wall_time_s
A: compiler stderr,26,13,0.9231,0.7586,0.9786,1.9231,1.0,47.7299,25.7641
B: stderr + LSP diagnostics,26,13,0.9615,0.8111,0.9932,1.6154,1.0,56.9526,42.8733
