condition,n_runs,n_units,success_rate,success_rate_wilson_low,success_rate_wilson_high,mean_iterations,median_iterations,mean_wall_time_s,median_wall_time_s
A: compiler stderr,24,6,0.875,0.69,0.9566,2.5417,1.0,26.5683,14.5781
B: stderr + LSP diagnostics,24,6,0.875,0.69,0.9566,2.5,1.0,38.3258,23.9052
