condition,n_runs,n_units,success_rate,success_rate_wilson_low,success_rate_wilson_high,mean_iterations,median_iterations,mean_wall_time_s,median_wall_time_s
A: compiler stderr,4,2,1.0,0.5101,1.0,1.75,2.0,93.3635,78.3065
B: stderr + LSP diagnostics,4,2,1.0,0.5101,1.0,1.5,1.5,82.282,65.3917
