unit_id,project,relative_path,loc,condition,repetition,success,iterations_used,wall_time_seconds,timestamp,n_feedback_rounds
hash-library/crc32.cpp,hash-library,crc32.cpp,431,A: compiler stderr,0,True,2,36.29479664599967,2026-05-16 10:56:08.203949+00:00,2
hash-library/crc32.cpp,hash-library,crc32.cpp,431,A: compiler stderr,1,True,1,13.924142564999784,2026-05-16 10:56:22.128661+00:00,1
hash-library/crc32.cpp,hash-library,crc32.cpp,431,A: compiler stderr,2,True,1,17.94087902800129,2026-05-16 10:56:40.070124+00:00,1
hash-library/crc32.cpp,hash-library,crc32.cpp,431,A: compiler stderr,3,True,2,22.039803035999284,2026-05-16 10:57:02.110433+00:00,2
hash-library/crc32.cpp,hash-library,crc32.cpp,431,B: stderr + LSP diagnostics,0,True,2,26.272088009000072,2026-05-16 10:57:28.383013+00:00,2
hash-library/crc32.cpp,hash-library,crc32.cpp,431,B: stderr + LSP diagnostics,1,True,1,17.654176383999584,2026-05-16 10:57:46.037786+00:00,1
hash-library/crc32.cpp,hash-library,crc32.cpp,431,B: stderr + LSP diagnostics,2,True,1,15.635282178000125,2026-05-16 10:58:01.673708+00:00,1
hash-library/crc32.cpp,hash-library,crc32.cpp,431,B: stderr + LSP diagnostics,3,True,1,19.446309147999273,2026-05-16 10:58:21.120656+00:00,1
hash-library/crc32.h,hash-library,crc32.h,69,A: compiler stderr,0,True,1,10.37182252799903,2026-05-16 10:58:31.493358+00:00,1
hash-library/crc32.h,hash-library,crc32.h,69,A: compiler stderr,1,True,1,10.522917672000403,2026-05-16 10:58:42.016865+00:00,1
hash-library/crc32.h,hash-library,crc32.h,69,A: compiler stderr,2,True,2,9.946897160001754,2026-05-16 10:58:51.964630+00:00,2
hash-library/crc32.h,hash-library,crc32.h,69,A: compiler stderr,3,True,0,4.308849073999227,2026-05-16 10:58:56.273993+00:00,0
hash-library/crc32.h,hash-library,crc32.h,69,B: stderr + LSP diagnostics,0,True,1,14.708460078998542,2026-05-16 10:59:10.983208+00:00,1
hash-library/crc32.h,hash-library,crc32.h,69,B: stderr + LSP diagnostics,1,True,1,11.78848173300139,2026-05-16 10:59:22.772352+00:00,1
hash-library/crc32.h,hash-library,crc32.h,69,B: stderr + LSP diagnostics,2,True,3,26.788302072998704,2026-05-16 10:59:49.561412+00:00,3
hash-library/crc32.h,hash-library,crc32.h,69,B: stderr + LSP diagnostics,3,True,1,15.028883858998597,2026-05-16 11:00:04.590847+00:00,1
hash-library/digest.cpp,hash-library,digest.cpp,109,A: compiler stderr,0,True,1,18.74380290999943,2026-05-16 11:00:23.335458+00:00,1
hash-library/digest.cpp,hash-library,digest.cpp,109,A: compiler stderr,1,True,3,33.69338923599935,2026-05-16 11:00:57.029619+00:00,3
hash-library/digest.cpp,hash-library,digest.cpp,109,A: compiler stderr,2,True,3,43.080798297,2026-05-16 11:01:40.111075+00:00,3
hash-library/digest.cpp,hash-library,digest.cpp,109,A: compiler stderr,3,True,1,16.742797728998994,2026-05-16 11:01:56.854773+00:00,1
hash-library/digest.cpp,hash-library,digest.cpp,109,B: stderr + LSP diagnostics,0,True,2,33.314793472998645,2026-05-16 11:02:30.170208+00:00,2
hash-library/digest.cpp,hash-library,digest.cpp,109,B: stderr + LSP diagnostics,1,True,2,37.311671400000705,2026-05-16 11:03:07.482572+00:00,2
hash-library/digest.cpp,hash-library,digest.cpp,109,B: stderr + LSP diagnostics,2,True,3,42.58107100400048,2026-05-16 11:03:50.064858+00:00,3
hash-library/digest.cpp,hash-library,digest.cpp,109,B: stderr + LSP diagnostics,3,True,1,20.535640510999656,2026-05-16 11:04:10.601698+00:00,1
hash-library/hash.h,hash-library,hash.h,28,A: compiler stderr,0,True,1,5.011819309000202,2026-05-16 11:04:15.614591+00:00,1
hash-library/hash.h,hash-library,hash.h,28,A: compiler stderr,1,True,1,5.903661053000178,2026-05-16 11:04:21.519118+00:00,1
hash-library/hash.h,hash-library,hash.h,28,A: compiler stderr,2,True,1,4.925936656998601,2026-05-16 11:04:26.445618+00:00,1
hash-library/hash.h,hash-library,hash.h,28,A: compiler stderr,3,True,1,4.232050954000442,2026-05-16 11:04:30.678785+00:00,1
